Année ;tous_regimes;tous_regimes;regime_general;regime_general;regime_general;regime_general
Année ;trim_validés;dont trim_cotisés;trim_validés;dont trim_cotisés;dont trim_equiv;Salaire euros
1998;2;2;2;2;0;2853.85
1999;0;0;0;0;0;63.11
2000;4;4;4;4;0;5420.48
2001;4;4;4;4;0;19208.58
2002;4;4;4;4;0;17003
2003;4;4;4;4;0;16929
2004;4;4;4;4;0;21503
2005;4;4;4;4;0;26166
2006;4;4;4;4;0;31068
2007;4;4;4;4;0;32184
2008;4;4;4;4;0;33276
2009;4;4;4;4;0;34308
2010;4;4;4;4;0;34620
2011;4;4;4;4;0;35352
2012;4;4;4;4;0;36372
2013;4;4;4;4;0;37032
2014;4;4;4;4;0;37548
2015;4;4;4;4;0;38040
2016;4;4;4;4;0;38616
2017;4;4;4;4;0;39228
2018;4;4;4;4;0;39732
2019;4;4;4;4;0;40524
2020;4;4;4;4;0;41136
2021;4;4;4;4;0;41136
2022;4;4;4;4;0;41136
2023;4;4;4;4;0;43992
2024;4;4;4;4;0;43992
2025;4;4;4;4;0;43992
2026;4;4;4;4;0;43992
2027;4;4;4;4;0;43992
2028;4;4;4;4;0;43992
2029;4;4;4;4;0;43992
2030;4;4;4;4;0;43992
2031;4;4;4;4;0;43992
2032;4;4;4;4;0;43992
2033;4;4;4;4;0;43992
2034;0;0;0;0;0;0
2035;0;0;0;0;0;0
2036;0;0;0;0;0;0
2037;0;0;0;0;0;0
2038;0;0;0;0;0;0
2039;0;0;0;0;0;0
2040;0;0;0;0;0;0
2041;0;0;0;0;0;0
2042;0;0;0;0;0;0
2043;0;0;0;0;0;0
2044;0;0;0;0;0;0
2045;0;0;0;0;0;0
2046;0;0;0;0;0;0
2047;0;0;0;0;0;0
2048;0;0;0;0;0;0
