Régime                                                            ;regime_general;agirc_arrco;ircantec;cnavpl;carcdsf_rc;carcdsf_pcv_avant_2006;carcdsf_pcv
Nom                                                               ;Régime Général ;Agirc-Arrco ;IRCANTEC;CARCDSF Base ;CARCDSF RC;CARCDSF PCV avant 2006;CARCDSF PCV
Cumul point/Trim pour RG                                          ;110;100000;175;8853.3       ;331.58;82.5;121.9
Dont trim équivalents ou rachat tx1 déjà dans la carrière pour RG / dont points acquis avant 2012 pour agirc-arrco;0;100;0;0;0;0;0
Date cumul                                                        ;31/12/2023;31/12/2023;31/12/2023;31/12/2023;31/12/2023;31/12/2023;31/12/2023
2023;4;10;0;476.3;18.93;0;10.44
2024;4;10;0;476.3;18.93;0;10.44
2025;4;10;0;476.3;18.93;0;10.44
2026;4;10;0;476.3;18.93;0;10.44
2027;4;10;0;476.3;18.93;0;10.44
2028;4;10;0;476.3;18.93;0;10.44
2029;4;10;0;476.3;18.93;0;10.44
2030;4;10;0;476.3;18.93;0;10.44
2031;4;10;0;476.3;18.93;0;10.44
2032;4;10;0;476.3;18.93;0;10.44
2033;4;10;0;476.3;18.93;0;10.44
2034;4;10;0;476.3;18.93;0;10.44
2035;4;10;0;476.3;18.93;0;10.44
2036;4;10;0;476.3;18.93;0;10.44
2037;4;10;0;476.3;18.93;0;10.44
2038;4;10;0;476.3;18.93;0;10.44
2039;4;10;0;476.3;18.93;0;10.44
2040;4;10;0;476.3;18.93;0;10.44
2041;4;10;0;476.3;18.93;0;10.44
